IngID,ingredient,frequency,generic_name,wikilink,wikiimage,FlavorDB_Category,Dietrx_Category,Flavor_DB_Link,flavordb_id,Diet_rx_link
32,oil,6496,Cooking Oil,https://en.wikipedia.org/wiki/Oil,https://upload.wikimedia.org/wikipedia/commons/0/0e/Oliven_V1.jpg,,Additive,Cooking Oil~https://cosylab.iiitd.edu.in/flavordb/entity_details?id=901,901,
33,basil,6087,Basil,https://en.wikipedia.org/wiki/Basil,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Basil-Basilico-Ocimum_basilicum-albahaca.jpg/440px-Basil-Basilico-Ocimum_basilicum-albahaca.jpg,,Herb,Basil~https://cosylab.iiitd.edu.in/flavordb/entity_details?id=250,250,basil~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A39350
34,chicken broth,5985,Chicken,https://en.wikipedia.org/wiki/Chicken_as_food,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Chickens_in_market.jpg/440px-Chickens_in_market.jpg,,Meat,Chicken~https://cosylab.iiitd.edu.in/flavordb/entity_details?id=272,272,beef cow meat sirloin veal~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=MeatEgg+ID%3A9913
35,lemon,5762,Lemon,https://en.wikipedia.org/wiki/Lemon,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Lemon-Whole-Split.jpg/220px-Lemon-Whole-Split.jpg,,Fruit,Lemon~https://cosylab.iiitd.edu.in/flavordb/entity_details?id=240,240,lemon~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A2708
36,lime juice,5722,Lime,https://en.wikipedia.org/wiki/Lime_(fruit),https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Lime_Blossom.jpg/220px-Lime_Blossom.jpg,,Beverage,Lime~https://cosylab.iiitd.edu.in/flavordb/entity_details?id=241,241,lime~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A159033||bears lime~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A200541||makrut lime~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A170989||american lime~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A66669
37,extra virgin olive oil,5658,Olive Oil,https://en.wikipedia.org/wiki/Olive_oil,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Oliven_V1.jpg/250px-Oliven_V1.jpg,,Plant Derivative,Olive~https://cosylab.iiitd.edu.in/flavordb/entity_details?id=307,307,common olive~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A4146||autumn olive~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A43233||chinese white olive~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A300208||russian olive~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A36777||chinese olive~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A246350
38,chicken breast,5402,Chicken,https://en.wikipedia.org/wiki/Chicken_as_food,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Chickens_in_market.jpg/440px-Chickens_in_market.jpg,,Meat,Chicken~https://cosylab.iiitd.edu.in/flavordb/entity_details?id=272,272,beef cow meat sirloin veal~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=MeatEgg+ID%3A9913
39,white sugar,5199,Sugar,https://en.wikipedia.org/wiki/White_sugar,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/A_Bowl_of_Sugar_2.jpg/300px-A_Bowl_of_Sugar_2.jpg,,Additive,Sugar~https://cosylab.iiitd.edu.in/flavordb/entity_details?id=781,781,
41,mushroom,5181,Mushroom,https://en.wikipedia.org/wiki/Mushroom,https://upload.wikimedia.org/wikipedia/commons/f/ff/Champignons_Agaricus.jpg,,Fungi,Mushroom~https://cosylab.iiitd.edu.in/flavordb/entity_details?id=246,246,common mushroom~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A5341||oyster mushroom~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A5322
42,paprika,5177,Capsicum,https://en.wikipedia.org/wiki/Paprika,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Spanishsmokedpaprika.jpg/220px-Spanishsmokedpaprika.jpg,,Vegetable Fruit,Capsicum~https://cosylab.iiitd.edu.in/flavordb/entity_details?id=362,362,capsicum baccatum var pendulum~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A33114||capsicum annuum var grossum~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A4072||capsicum frutescen~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A4073||water pepper~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A46901||jamaica pepper~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A375272||japanese pepper~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A354529||sweet osmanthu~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A93977
